Total time (ms),ROCA counterexample time (ms),DFA counterexample time (ms),Learning DFA time (ms),Table time (ms),Finding descriptions (ms),Membership queries,Counter value queries,Partial equivalence queries,Equivalence queries,Rounds,Openness,Sigma-inconsistencies,Bottom-inconsistencies,Mismatches,Length longest cex,|R|,|S|,|? \ S|,"# of bin rows",Result alphabet size,Result ROCA size
17557,6070,34,11488,10750,0,35786,197,2,4,2,2,19,1,0,31,62,32,0,1,19,33
17862,6024,34,11836,11036,0,35786,197,2,4,2,2,19,1,0,31,62,32,0,1,19,33
18142,5738,44,12404,11581,0,35786,197,2,4,2,2,19,1,0,31,62,32,0,1,19,33
15858,5718,32,10139,9795,0,21379,137,2,4,2,2,19,1,0,31,37,32,0,1,19,33
18630,6569,41,12060,11237,0,35786,197,2,4,2,2,19,1,0,31,62,32,0,1,19,33
17853,5733,43,12119,11300,0,35786,197,2,4,2,2,19,1,0,31,62,32,0,1,19,33
17378,5656,33,11722,10963,0,35786,197,2,4,2,2,19,1,0,31,62,32,0,1,19,33
17193,5963,45,11229,10395,1,35786,197,2,4,2,2,19,1,0,31,62,32,0,1,19,33
17823,6267,45,11556,10734,0,35786,197,2,4,2,2,19,1,0,31,62,32,0,1,19,33
18106,6292,32,11815,11079,0,35786,197,2,4,2,2,19,1,0,31,62,32,0,1,19,33
15657,5939,41,9718,9382,0,21379,137,2,4,2,2,19,1,0,31,37,32,0,1,19,33
7581,5546,34,2035,1934,0,19648,134,1,4,2,2,19,1,0,31,34,32,0,1,19,33
7650,5645,31,2005,1904,0,19648,134,1,4,2,2,19,1,0,31,34,32,0,1,19,33
17588,5795,34,11791,11012,0,35786,197,2,4,2,2,19,1,0,31,62,32,0,1,19,33
17819,5719,41,12100,11277,0,35786,197,2,4,2,2,19,1,0,31,62,32,0,1,19,33
17865,6038,45,11826,10869,0,35786,197,2,4,2,2,19,1,0,31,62,32,0,1,19,33
17136,6098,47,11038,10213,0,35786,197,2,4,2,2,19,1,0,31,62,32,0,1,19,33
15880,6239,34,9641,9331,0,21379,137,2,4,2,2,19,1,0,31,37,32,0,1,19,33
17848,5893,33,11955,11116,0,35786,197,2,4,2,2,19,1,0,31,62,32,0,1,19,33
16842,5718,33,11123,10353,0,35786,197,2,4,2,2,19,1,0,31,62,32,0,1,19,33
17236,5789,43,11447,10630,0,35786,197,2,4,2,2,19,1,0,31,62,32,0,1,19,33
7755,5734,34,2020,1915,1,19648,134,1,4,2,2,19,1,0,31,34,32,0,1,19,33
7859,5774,46,2085,1971,0,19648,134,1,4,2,2,19,1,0,31,34,32,0,1,19,33
7604,5479,36,2125,2019,0,19648,134,1,4,2,2,19,1,0,31,34,32,0,1,19,33
18486,6986,42,11499,10657,0,35786,197,2,4,2,2,19,1,0,31,62,32,0,1,19,33
17514,6215,34,11299,10556,0,35786,197,2,4,2,2,19,1,0,31,62,32,0,1,19,33
16555,5675,34,10881,10119,0,35786,197,2,4,2,2,19,1,0,31,62,32,0,1,19,33
17035,5930,36,11103,10366,0,35786,197,2,4,2,2,19,1,0,31,62,32,0,1,19,33
17979,5732,45,12248,11420,0,35786,197,2,4,2,2,19,1,0,31,62,32,0,1,19,33
17295,5715,47,11581,10750,0,35786,197,2,4,2,2,19,1,0,31,62,32,0,1,19,33
15443,6117,44,9326,8996,0,21379,137,2,4,2,2,19,1,0,31,37,32,0,1,19,33
16878,5929,34,10948,10200,0,35786,197,2,4,2,2,19,1,0,31,62,32,0,1,19,33
15586,5750,34,9835,9530,0,21379,137,2,4,2,2,19,1,0,31,37,32,0,1,19,33
17654,5943,30,11710,10935,1,35786,197,2,4,2,2,19,1,0,31,62,32,0,1,19,33
7942,5908,34,2034,1932,0,19648,134,1,4,2,2,19,1,0,31,34,32,0,1,19,33
17450,5844,34,11605,10850,0,35786,197,2,4,2,2,19,1,0,31,62,32,0,1,19,33
18145,5793,45,12352,11408,0,35786,197,2,4,2,2,19,1,0,31,62,32,0,1,19,33
16431,6103,34,10327,10015,0,21379,137,2,4,2,2,19,1,0,31,37,32,0,1,19,33
18160,6404,34,11756,11011,0,35786,197,2,4,2,2,19,1,0,31,62,32,0,1,19,33
16689,5735,30,10954,10221,1,35786,197,2,4,2,2,19,1,0,31,62,32,0,1,19,33
17578,5992,34,11585,10826,0,35786,197,2,4,2,2,19,1,0,31,62,32,0,1,19,33
17969,5682,44,12287,11379,0,35786,197,2,4,2,2,19,1,0,31,62,32,0,1,19,33
17949,6081,46,11867,11053,1,35786,197,2,4,2,2,19,1,0,31,62,32,0,1,19,33
17423,6261,42,11162,10348,0,35786,197,2,4,2,2,19,1,0,31,62,32,0,1,19,33
18041,6188,47,11853,11025,0,35786,197,2,4,2,2,19,1,0,31,62,32,0,1,19,33
18129,5775,42,12352,11538,1,35786,197,2,4,2,2,19,1,0,31,62,32,0,1,19,33
17639,5724,42,11914,11094,0,35786,197,2,4,2,2,19,1,0,31,62,32,0,1,19,33
17027,5903,41,11124,10307,1,35786,197,2,4,2,2,19,1,0,31,62,32,0,1,19,33
18195,6134,45,12061,11237,1,35786,197,2,4,2,2,19,1,0,31,62,32,0,1,19,33
18127,6123,34,12003,11266,0,35786,197,2,4,2,2,19,1,0,31,62,32,0,1,19,33
15419,5679,34,9740,9434,0,21379,137,2,4,2,2,19,1,0,31,37,32,0,1,19,33
18882,6361,52,12521,11582,0,35786,197,2,4,2,2,19,1,0,31,62,32,0,1,19,33
17188,6074,44,11113,10300,0,35786,197,2,4,2,2,19,1,0,31,62,32,0,1,19,33
16934,5774,33,11159,10426,0,35786,197,2,4,2,2,19,1,0,31,62,32,0,1,19,33
18040,5680,40,12360,11541,0,35786,197,2,4,2,2,19,1,0,31,62,32,0,1,19,33
17693,5903,47,11789,10969,0,35786,197,2,4,2,2,19,1,0,31,62,32,0,1,19,33
17496,6189,42,11306,10513,0,35786,197,2,4,2,2,19,1,0,31,62,32,0,1,19,33
17113,5793,42,11319,10547,1,35786,197,2,4,2,2,19,1,0,31,62,32,0,1,19,33
18099,5753,45,12346,11522,1,35786,197,2,4,2,2,19,1,0,31,62,32,0,1,19,33
17593,5915,42,11677,10849,0,35786,197,2,4,2,2,19,1,0,31,62,32,0,1,19,33
7764,5758,34,2006,1904,0,19648,134,1,4,2,2,19,1,0,31,34,32,0,1,19,33
18170,5933,42,12236,11415,0,35786,197,2,4,2,2,19,1,0,31,62,32,0,1,19,33
